"","County","Month","Year","Clamaints"
"1658","SACRAMENTO","May",2009,46678
"1659","SAN BENITO","May",2009,2392
"1660","SAN BERNARDINO","May",2009,69341
"1661","SAN DIEGO","May",2009,90754
"1662","SAN FRANCISCO","May",2009,26832
"1663","SAN JOAQUIN","May",2009,27939
"1664","SAN LUIS OBISPO","May",2009,6414
"1665","SAN MATEO","May",2009,18317
"1666","SANTA BARBARA","May",2009,8497
"1667","SANTA CLARA","May",2009,65271
"1668","SANTA CRUZ","May",2009,9110
"1669","SHASTA","May",2009,8140
"1670","SIERRA","May",2009,142
"1671","SISKIYOU","May",2009,1507
"1672","SOLANO","May",2009,13691
"1673","SONOMA","May",2009,15874
"1674","STANISLAUS","May",2009,23830
"1675","SUTTER","May",2009,4298
"1676","TEHAMA","May",2009,2173
"1677","TRINITY","May",2009,458
"1678","TULARE","May",2009,17017
"1679","TUOLUMNE","May",2009,1924
"1680","VENTURA","May",2009,24187
"1681","YOLO","May",2009,5405
"1682","YUBA","May",2009,2924
"1683","ALAMEDA","Jun",2009,55728
"1684","ALPINE","Jun",2009,44
"1685","AMADOR","Jun",2009,1221
"1686","BUTTE","Jun",2009,7515
"1687","CALAVERAS","Jun",2009,1755
"1688","COLUSA","Jun",2009,964
"1689","CONTRA COSTA","Jun",2009,33474
"1690","DEL NORTE","Jun",2009,705
"1691","EL DORADO","Jun",2009,6039
"1692","FRESNO","Jun",2009,37066
"1693","GLENN","Jun",2009,1143
"1694","HUMBOLDT","Jun",2009,3449
"1695","IMPERIAL","Jun",2009,14853
"1696","INYO","Jun",2009,466
"1697","KERN","Jun",2009,29172
"1698","KINGS","Jun",2009,4574
"1699","LAKE","Jun",2009,2218
"1700","LASSEN","Jun",2009,687
"1701","LOS ANGELES","Jun",2009,289540
"1702","MADERA","Jun",2009,5158
"1703","MARIN","Jun",2009,5787
"1704","MARIPOSA","Jun",2009,496
"1705","MENDOCINO","Jun",2009,2495
"1706","MERCED","Jun",2009,10242
"1707","MODOC","Jun",2009,198
"1708","MONO","Jun",2009,553
"1709","MONTEREY","Jun",2009,10767
"1710","NAPA","Jun",2009,3527
"1711","NEVADA","Jun",2009,3437
"1712","ORANGE","Jun",2009,89946
"1713","PLACER","Jun",2009,11695
"1714","PLUMAS","Jun",2009,787
"1715","RIVERSIDE","Jun",2009,80027
"1716","SACRAMENTO","Jun",2009,48473
"1717","SAN BENITO","Jun",2009,2359
"1718","SAN BERNARDINO","Jun",2009,72011
"1719","SAN DIEGO","Jun",2009,93804
"1720","SAN FRANCISCO","Jun",2009,27937
"1721","SAN JOAQUIN","Jun",2009,28007
"1722","SAN LUIS OBISPO","Jun",2009,6589
"1723","SAN MATEO","Jun",2009,19003
"1724","SANTA BARBARA","Jun",2009,8822
"1725","SANTA CLARA","Jun",2009,66999
"1726","SANTA CRUZ","Jun",2009,8462
"1727","SHASTA","Jun",2009,8088
"1728","SIERRA","Jun",2009,109
"1729","SISKIYOU","Jun",2009,1370
"1730","SOLANO","Jun",2009,14089
"1731","SONOMA","Jun",2009,16230
"1732","STANISLAUS","Jun",2009,23533
"1733","SUTTER","Jun",2009,4061
"1734","TEHAMA","Jun",2009,2029
"1735","TRINITY","Jun",2009,413
"1736","TULARE","Jun",2009,16706
"1737","TUOLUMNE","Jun",2009,1882
"1738","VENTURA","Jun",2009,25062
"1739","YOLO","Jun",2009,5486
"1740","YUBA","Jun",2009,2877
"1741","ALAMEDA","Jul",2009,56484
"1742","ALPINE","Jul",2009,33
"1743","AMADOR","Jul",2009,1257
"1744","BUTTE","Jul",2009,7633
"1745","CALAVERAS","Jul",2009,1834
"1746","COLUSA","Jul",2009,843
"1747","CONTRA COSTA","Jul",2009,35242
"1748","DEL NORTE","Jul",2009,722
"1749","EL DORADO","Jul",2009,6168
"1750","FRESNO","Jul",2009,35848
"1751","GLENN","Jul",2009,1080
"1752","HUMBOLDT","Jul",2009,3478
"1753","IMPERIAL","Jul",2009,17134
"1754","INYO","Jul",2009,471
"1755","KERN","Jul",2009,28116
"1756","KINGS","Jul",2009,4045
"1757","LAKE","Jul",2009,2206
"1758","LASSEN","Jul",2009,735
"1759","LOS ANGELES","Jul",2009,310405
"1760","MADERA","Jul",2009,5071
"1761","MARIN","Jul",2009,6053
"1762","MARIPOSA","Jul",2009,498
"1763","MENDOCINO","Jul",2009,2592
"1764","MERCED","Jul",2009,9650
"1765","MODOC","Jul",2009,195
"1766","MONO","Jul",2009,471
"1767","MONTEREY","Jul",2009,10696
"1768","NAPA","Jul",2009,3613
"1769","NEVADA","Jul",2009,3400
"1770","ORANGE","Jul",2009,96420
"1771","PLACER","Jul",2009,12100
"1772","PLUMAS","Jul",2009,771
"1773","RIVERSIDE","Jul",2009,87610
"1774","SACRAMENTO","Jul",2009,51047
"1775","SAN BENITO","Jul",2009,2168
"1776","SAN BERNARDINO","Jul",2009,76232
"1777","SAN DIEGO","Jul",2009,98821
"1778","SAN FRANCISCO","Jul",2009,28703
"1779","SAN JOAQUIN","Jul",2009,28654
"1780","SAN LUIS OBISPO","Jul",2009,7044
"1781","SAN MATEO","Jul",2009,19668
"1782","SANTA BARBARA","Jul",2009,9234
"1783","SANTA CLARA","Jul",2009,67875
"1784","SANTA CRUZ","Jul",2009,8723
"1785","SHASTA","Jul",2009,8293
"1786","SIERRA","Jul",2009,103
"1787","SISKIYOU","Jul",2009,1378
"1788","SOLANO","Jul",2009,14730
"1789","SONOMA","Jul",2009,16834
"1790","STANISLAUS","Jul",2009,23245
"1791","SUTTER","Jul",2009,3568
"1792","TEHAMA","Jul",2009,2134
"1793","TRINITY","Jul",2009,405
"1794","TULARE","Jul",2009,17072
"1795","TUOLUMNE","Jul",2009,1944
"1796","VENTURA","Jul",2009,27633
"1797","YOLO","Jul",2009,5618
"1798","YUBA","Jul",2009,2914
"1799","ALAMEDA","Aug",2009,57264
"1800","ALPINE","Aug",2009,27
"1801","AMADOR","Aug",2009,1296
"1802","BUTTE","Aug",2009,7432
"1803","CALAVERAS","Aug",2009,1851
"1804","COLUSA","Aug",2009,659
"1805","CONTRA COSTA","Aug",2009,35679
"1806","DEL NORTE","Aug",2009,705
"1807","EL DORADO","Aug",2009,6168
"1808","FRESNO","Aug",2009,35024
"1809","GLENN","Aug",2009,1067
"1810","HUMBOLDT","Aug",2009,3417
"1811","IMPERIAL","Aug",2009,17551
"1812","INYO","Aug",2009,467
"1813","KERN","Aug",2009,28049
"1814","KINGS","Aug",2009,3861
"1815","LAKE","Aug",2009,2244
"1816","LASSEN","Aug",2009,706
"1817","LOS ANGELES","Aug",2009,317022
"1818","MADERA","Aug",2009,4828
"1819","MARIN","Aug",2009,6155
"1820","MARIPOSA","Aug",2009,483
"1821","MENDOCINO","Aug",2009,2596
"1822","MERCED","Aug",2009,9237
"1823","MODOC","Aug",2009,197
"1824","MONO","Aug",2009,465
"1825","MONTEREY","Aug",2009,10818
"1826","NAPA","Aug",2009,3711
"1827","NEVADA","Aug",2009,3375
"1828","ORANGE","Aug",2009,98560
"1829","PLACER","Aug",2009,12263
"1830","PLUMAS","Aug",2009,743
"1831","RIVERSIDE","Aug",2009,89120
"1832","SACRAMENTO","Aug",2009,52002
"1833","SAN BENITO","Aug",2009,2070
"1834","SAN BERNARDINO","Aug",2009,76924
"1835","SAN DIEGO","Aug",2009,100570
"1836","SAN FRANCISCO","Aug",2009,29180
"1837","SAN JOAQUIN","Aug",2009,28078
"1838","SAN LUIS OBISPO","Aug",2009,7099
"1839","SAN MATEO","Aug",2009,20070
"1840","SANTA BARBARA","Aug",2009,9546
"1841","SANTA CLARA","Aug",2009,69305
"1842","SANTA CRUZ","Aug",2009,8617
"1843","SHASTA","Aug",2009,7940
"1844","SIERRA","Aug",2009,93
"1845","SISKIYOU","Aug",2009,1338
"1846","SOLANO","Aug",2009,14829
"1847","SONOMA","Aug",2009,16906
"1848","STANISLAUS","Aug",2009,22377
"1849","SUTTER","Aug",2009,3257
"1850","TEHAMA","Aug",2009,2115
"1851","TRINITY","Aug",2009,397
"1852","TULARE","Aug",2009,17020
"1853","TUOLUMNE","Aug",2009,1984
"1854","VENTURA","Aug",2009,28306
"1855","YOLO","Aug",2009,5524
"1856","YUBA","Aug",2009,2839
"1857","ALAMEDA","Sep",2009,54202
"1858","ALPINE","Sep",2009,34
"1859","AMADOR","Sep",2009,1219
"1860","BUTTE","Sep",2009,6658
"1861","CALAVERAS","Sep",2009,1777
"1862","COLUSA","Sep",2009,599
"1863","CONTRA COSTA","Sep",2009,34182
"1864","DEL NORTE","Sep",2009,634
"1865","EL DORADO","Sep",2009,5876
"1866","FRESNO","Sep",2009,33181
"1867","GLENN","Sep",2009,877
"1868","HUMBOLDT","Sep",2009,2996
"1869","IMPERIAL","Sep",2009,16932
"1870","INYO","Sep",2009,421
"1871","KERN","Sep",2009,26702
"1872","KINGS","Sep",2009,3606
"1873","LAKE","Sep",2009,2092
"1874","LASSEN","Sep",2009,653
"1875","LOS ANGELES","Sep",2009,299497
"1876","MADERA","Sep",2009,4311
"1877","MARIN","Sep",2009,5692
"1878","MARIPOSA","Sep",2009,417
"1879","MENDOCINO","Sep",2009,2319
"1880","MERCED","Sep",2009,8291
"1881","MODOC","Sep",2009,178
"1882","MONO","Sep",2009,468
"1883","MONTEREY","Sep",2009,10219
"1884","NAPA","Sep",2009,3494
"1885","NEVADA","Sep",2009,3095
"1886","ORANGE","Sep",2009,93447
"1887","PLACER","Sep",2009,11719
"1888","PLUMAS","Sep",2009,700
"1889","RIVERSIDE","Sep",2009,84877
"1890","SACRAMENTO","Sep",2009,50021
"1891","SAN BENITO","Sep",2009,1951
"1892","SAN BERNARDINO","Sep",2009,72966
"1893","SAN DIEGO","Sep",2009,96315
"1894","SAN FRANCISCO","Sep",2009,27236
"1895","SAN JOAQUIN","Sep",2009,26996
"1896","SAN LUIS OBISPO","Sep",2009,6546
"1897","SAN MATEO","Sep",2009,19025
"1898","SANTA BARBARA","Sep",2009,9349
"1899","SANTA CLARA","Sep",2009,65492
"1900","SANTA CRUZ","Sep",2009,8070
"1901","SHASTA","Sep",2009,7458
"1902","SIERRA","Sep",2009,80
"1903","SISKIYOU","Sep",2009,1253
"1904","SOLANO","Sep",2009,14297
"1905","SONOMA","Sep",2009,15980
"1906","STANISLAUS","Sep",2009,20723
"1907","SUTTER","Sep",2009,3108
"1908","TEHAMA","Sep",2009,2027
"1909","TRINITY","Sep",2009,366
"1910","TULARE","Sep",2009,16348
"1911","TUOLUMNE","Sep",2009,1907
"1912","VENTURA","Sep",2009,27242
"1913","YOLO","Sep",2009,5313
"1914","YUBA","Sep",2009,2701
"1915","ALAMEDA","Oct",2009,53871
"1916","ALPINE","Oct",2009,35
"1917","AMADOR","Oct",2009,1257
"1918","BUTTE","Oct",2009,7053
"1919","CALAVERAS","Oct",2009,1797
"1920","COLUSA","Oct",2009,1048
"1921","CONTRA COSTA","Oct",2009,34314
"1922","DEL NORTE","Oct",2009,659
"1923","EL DORADO","Oct",2009,6107
"1924","FRESNO","Oct",2009,38687
"1925","GLENN","Oct",2009,842
"1926","HUMBOLDT","Oct",2009,3327
"1927","IMPERIAL","Oct",2009,16692
"1928","INYO","Oct",2009,433
"1929","KERN","Oct",2009,28236
"1930","KINGS","Oct",2009,4584
"1931","LAKE","Oct",2009,2393
"1932","LASSEN","Oct",2009,723
"1933","LOS ANGELES","Oct",2009,297166
"1934","MADERA","Oct",2009,5027
"1935","MARIN","Oct",2009,5678
"1936","MARIPOSA","Oct",2009,486
"1937","MENDOCINO","Oct",2009,2433
"1938","MERCED","Oct",2009,9221
"1939","MODOC","Oct",2009,209
"1940","MONO","Oct",2009,555
"1941","MONTEREY","Oct",2009,11146
"1942","NAPA","Oct",2009,3566
"1943","NEVADA","Oct",2009,3175
"1944","ORANGE","Oct",2009,94029
"1945","PLACER","Oct",2009,12031
"1946","PLUMAS","Oct",2009,773
"1947","RIVERSIDE","Oct",2009,84099
"1948","SACRAMENTO","Oct",2009,50804
"1949","SAN BENITO","Oct",2009,2180
"1950","SAN BERNARDINO","Oct",2009,73554
"1951","SAN DIEGO","Oct",2009,96763
"1952","SAN FRANCISCO","Oct",2009,26942
"1953","SAN JOAQUIN","Oct",2009,28029
"1954","SAN LUIS OBISPO","Oct",2009,6640
"1955","SAN MATEO","Oct",2009,18873
"1956","SANTA BARBARA","Oct",2009,9674
"1957","SANTA CLARA","Oct",2009,64685
"1958","SANTA CRUZ","Oct",2009,9022
"1959","SHASTA","Oct",2009,7801
"1960","SIERRA","Oct",2009,93
"1961","SISKIYOU","Oct",2009,1391
"1962","SOLANO","Oct",2009,14829
"1963","SONOMA","Oct",2009,15969
"1964","STANISLAUS","Oct",2009,22749
"1965","SUTTER","Oct",2009,3771
"1966","TEHAMA","Oct",2009,2010
"1967","TRINITY","Oct",2009,466
"1968","TULARE","Oct",2009,18288
"1969","TUOLUMNE","Oct",2009,1977
"1970","VENTURA","Oct",2009,27321
"1971","YOLO","Oct",2009,5890
"1972","YUBA","Oct",2009,2813
"1973","ALAMEDA","Nov",2009,57388
"1974","ALPINE","Nov",2009,34
"1975","AMADOR","Nov",2009,1454
"1976","BUTTE","Nov",2009,8261
"1977","CALAVERAS","Nov",2009,2007
"1978","COLUSA","Nov",2009,1437
"1979","CONTRA COSTA","Nov",2009,37045
"1980","DEL NORTE","Nov",2009,828
"1981","EL DORADO","Nov",2009,6897
"1982","FRESNO","Nov",2009,44959
"1983","GLENN","Nov",2009,1011
"1984","HUMBOLDT","Nov",2009,3916
"1985","IMPERIAL","Nov",2009,16309
"1986","INYO","Nov",2009,507
"1987","KERN","Nov",2009,33387
"1988","KINGS","Nov",2009,5519
"1989","LAKE","Nov",2009,2893
"1990","LASSEN","Nov",2009,908
"1991","LOS ANGELES","Nov",2009,322410
"1992","MADERA","Nov",2009,6170
"1993","MARIN","Nov",2009,6253
"1994","MARIPOSA","Nov",2009,653
"1995","MENDOCINO","Nov",2009,2910
"1996","MERCED","Nov",2009,12186
"1997","MODOC","Nov",2009,271
"1998","MONO","Nov",2009,616
"1999","MONTEREY","Nov",2009,14655
"2000","NAPA","Nov",2009,4432
"2001","NEVADA","Nov",2009,3676
"2002","ORANGE","Nov",2009,102257
"2003","PLACER","Nov",2009,13268
"2004","PLUMAS","Nov",2009,1000
"2005","RIVERSIDE","Nov",2009,90354
"2006","SACRAMENTO","Nov",2009,55807
"2007","SAN BENITO","Nov",2009,2505
"2008","SAN BERNARDINO","Nov",2009,81140
"2009","SAN DIEGO","Nov",2009,105207
"2010","SAN FRANCISCO","Nov",2009,29084
"2011","SAN JOAQUIN","Nov",2009,32483
"2012","SAN LUIS OBISPO","Nov",2009,7624
"2013","SAN MATEO","Nov",2009,20110
"2014","SANTA BARBARA","Nov",2009,10922
"2015","SANTA CLARA","Nov",2009,68332
"2016","SANTA CRUZ","Nov",2009,11441
"2017","SHASTA","Nov",2009,8853
"2018","SIERRA","Nov",2009,130
"2019","SISKIYOU","Nov",2009,1895
"2020","SOLANO","Nov",2009,16120
"2021","SONOMA","Nov",2009,17507
"2022","STANISLAUS","Nov",2009,26513
"2023","SUTTER","Nov",2009,4680
"2024","TEHAMA","Nov",2009,2305
"2025","TRINITY","Nov",2009,559
"2026","TULARE","Nov",2009,20684
"2027","TUOLUMNE","Nov",2009,2234
"2028","VENTURA","Nov",2009,29632
"2029","YOLO","Nov",2009,6738
"2030","YUBA","Nov",2009,3251
"2031","ALAMEDA","Dec",2009,57701
"2032","ALPINE","Dec",2009,32
"2033","AMADOR","Dec",2009,1550
"2034","BUTTE","Dec",2009,8864
"2035","CALAVERAS","Dec",2009,2178
"2036","COLUSA","Dec",2009,1712
"2037","CONTRA COSTA","Dec",2009,37861
"2038","DEL NORTE","Dec",2009,754
"2039","EL DORADO","Dec",2009,7193
"2040","FRESNO","Dec",2009,47562
"2041","GLENN","Dec",2009,1235
"2042","HUMBOLDT","Dec",2009,3997
"2043","IMPERIAL","Dec",2009,14341
"2044","INYO","Dec",2009,539
"2045","KERN","Dec",2009,36642
"2046","KINGS","Dec",2009,6028
"2047","LAKE","Dec",2009,3085
"2048","LASSEN","Dec",2009,1041
"2049","LOS ANGELES","Dec",2009,325715
"2050","MADERA","Dec",2009,6528
"2051","MARIN","Dec",2009,6287
"2052","MARIPOSA","Dec",2009,805
"2053","MENDOCINO","Dec",2009,3148
"2054","MERCED","Dec",2009,13811
"2055","MODOC","Dec",2009,318
"2056","MONO","Dec",2009,513
"2057","MONTEREY","Dec",2009,21792
"2058","NAPA","Dec",2009,4839
"2059","NEVADA","Dec",2009,3879
"2060","ORANGE","Dec",2009,102637
"2061","PLACER","Dec",2009,13669
"2062","PLUMAS","Dec",2009,1129
"2063","RIVERSIDE","Dec",2009,92116
"2064","SACRAMENTO","Dec",2009,57917
"2065","SAN BENITO","Dec",2009,2928
"2066","SAN BERNARDINO","Dec",2009,82802
"2067","SAN DIEGO","Dec",2009,107254
"2068","SAN FRANCISCO","Dec",2009,29664
"2069","SAN JOAQUIN","Dec",2009,34399
"2070","SAN LUIS OBISPO","Dec",2009,8107
"2071","SAN MATEO","Dec",2009,20452
"2072","SANTA BARBARA","Dec",2009,12028
"2073","SANTA CLARA","Dec",2009,68536
"2074","SANTA CRUZ","Dec",2009,13273
"2075","SHASTA","Dec",2009,9603
"2076","SIERRA","Dec",2009,153
"2077","SISKIYOU","Dec",2009,2210
"2078","SOLANO","Dec",2009,16846
"2079","SONOMA","Dec",2009,18254
"2080","STANISLAUS","Dec",2009,28152
"2081","SUTTER","Dec",2009,5138
"2082","TEHAMA","Dec",2009,2591
"2083","TRINITY","Dec",2009,585
"2084","TULARE","Dec",2009,23387
"2085","TUOLUMNE","Dec",2009,2446
"2086","VENTURA","Dec",2009,30427
"2087","YOLO","Dec",2009,7264
"2088","YUBA","Dec",2009,3573
"2089","ALAMEDA","Jan",2010,59873
"2090","ALPINE","Jan",2010,27
"2091","AMADOR","Jan",2010,1689
"2092","BUTTE","Jan",2010,9637
"2093","CALAVERAS","Jan",2010,2295
"2094","COLUSA","Jan",2010,1980
"2095","CONTRA COSTA","Jan",2010,39596
"2096","DEL NORTE","Jan",2010,850
"2097","EL DORADO","Jan",2010,7461
"2098","FRESNO","Jan",2010,50416
"2099","GLENN","Jan",2010,1436
"2100","HUMBOLDT","Jan",2010,4272
"2101","IMPERIAL","Jan",2010,13905
"2102","INYO","Jan",2010,591
"2103","KERN","Jan",2010,37752
"2104","KINGS","Jan",2010,6557
"2105","LAKE","Jan",2010,3296
"2106","LASSEN","Jan",2010,1207
"2107","LOS ANGELES","Jan",2010,339986
"2108","MADERA","Jan",2010,6847
"2109","MARIN","Jan",2010,6598
"2110","MARIPOSA","Jan",2010,870
"2111","MENDOCINO","Jan",2010,3317
"2112","MERCED","Jan",2010,14907
"2113","MODOC","Jan",2010,369
"2114","MONO","Jan",2010,414
"2115","MONTEREY","Jan",2010,23159
"2116","NAPA","Jan",2010,5067
"2117","NEVADA","Jan",2010,3983
"2118","ORANGE","Jan",2010,105537
"2119","PLACER","Jan",2010,14181
"2120","PLUMAS","Jan",2010,1318
"2121","RIVERSIDE","Jan",2010,94855
"2122","SACRAMENTO","Jan",2010,60887
"2123","SAN BENITO","Jan",2010,3241
"2124","SAN BERNARDINO","Jan",2010,85289
"2125","SAN DIEGO","Jan",2010,110723
"2126","SAN FRANCISCO","Jan",2010,31072
"2127","SAN JOAQUIN","Jan",2010,36147
"2128","SAN LUIS OBISPO","Jan",2010,8311
"2129","SAN MATEO","Jan",2010,21394
"2130","SANTA BARBARA","Jan",2010,12465
"2131","SANTA CLARA","Jan",2010,70291
"2132","SANTA CRUZ","Jan",2010,14139
"2133","SHASTA","Jan",2010,10499
"2134","SIERRA","Jan",2010,173
"2135","SISKIYOU","Jan",2010,2449
"2136","SOLANO","Jan",2010,17867
"2137","SONOMA","Jan",2010,19303
"2138","STANISLAUS","Jan",2010,29735
"2139","SUTTER","Jan",2010,5422
"2140","TEHAMA","Jan",2010,2822
"2141","TRINITY","Jan",2010,684
"2142","TULARE","Jan",2010,24152
"2143","TUOLUMNE","Jan",2010,2525
"2144","VENTURA","Jan",2010,31157
"2145","YOLO","Jan",2010,7925
"2146","YUBA","Jan",2010,3891
"2147","ALAMEDA","Feb",2010,60616
"2148","ALPINE","Feb",2010,27
"2149","AMADOR","Feb",2010,1709
"2150","BUTTE","Feb",2010,9679
"2151","CALAVERAS","Feb",2010,2350
"2152","COLUSA","Feb",2010,1974
"2153","CONTRA COSTA","Feb",2010,40277
"2154","DEL NORTE","Feb",2010,869
"2155","EL DORADO","Feb",2010,7633
"2156","FRESNO","Feb",2010,51673
"2157","GLENN","Feb",2010,1493
"2158","HUMBOLDT","Feb",2010,4306
"2159","IMPERIAL","Feb",2010,14234
"2160","INYO","Feb",2010,636
"2161","KERN","Feb",2010,38844
"2162","KINGS","Feb",2010,6794
"2163","LAKE","Feb",2010,3374
"2164","LASSEN","Feb",2010,1222
"2165","LOS ANGELES","Feb",2010,345129
"2166","MADERA","Feb",2010,7098
"2167","MARIN","Feb",2010,6700
"2168","MARIPOSA","Feb",2010,884
"2169","MENDOCINO","Feb",2010,3425
"2170","MERCED","Feb",2010,15304
"2171","MODOC","Feb",2010,399
"2172","MONO","Feb",2010,414
"2173","MONTEREY","Feb",2010,23485
"2174","NAPA","Feb",2010,5038
"2175","NEVADA","Feb",2010,4025
"2176","ORANGE","Feb",2010,107858
"2177","PLACER","Feb",2010,14386
"2178","PLUMAS","Feb",2010,1332
"2179","RIVERSIDE","Feb",2010,97263
"2180","SACRAMENTO","Feb",2010,62342
"2181","SAN BENITO","Feb",2010,3362
"2182","SAN BERNARDINO","Feb",2010,87218
"2183","SAN DIEGO","Feb",2010,112567
"2184","SAN FRANCISCO","Feb",2010,31397
"2185","SAN JOAQUIN","Feb",2010,37071
"2186","SAN LUIS OBISPO","Feb",2010,8596
"2187","SAN MATEO","Feb",2010,21856
"2188","SANTA BARBARA","Feb",2010,12837
"2189","SANTA CLARA","Feb",2010,70961
"2190","SANTA CRUZ","Feb",2010,14530
"2191","SHASTA","Feb",2010,10799
"2192","SIERRA","Feb",2010,172
"2193","SISKIYOU","Feb",2010,2498
"2194","SOLANO","Feb",2010,18162
"2195","SONOMA","Feb",2010,20016
"2196","STANISLAUS","Feb",2010,30433
"2197","SUTTER","Feb",2010,5875
"2198","TEHAMA","Feb",2010,2952
"2199","TRINITY","Feb",2010,699
"2200","TULARE","Feb",2010,24685
"2201","TUOLUMNE","Feb",2010,2601
"2202","VENTURA","Feb",2010,31413
"2203","YOLO","Feb",2010,8054
"2204","YUBA","Feb",2010,3992
"2205","ALAMEDA","Mar",2010,60438
"2206","ALPINE","Mar",2010,26
"2207","AMADOR","Mar",2010,1718
"2208","BUTTE","Mar",2010,9421
"2209","CALAVERAS","Mar",2010,2310
"2210","COLUSA","Mar",2010,1871
"2211","CONTRA COSTA","Mar",2010,40222
"2212","DEL NORTE","Mar",2010,863
"2213","EL DORADO","Mar",2010,7613
"2214","FRESNO","Mar",2010,51069
"2215","GLENN","Mar",2010,1425
"2216","HUMBOLDT","Mar",2010,4316
"2217","IMPERIAL","Mar",2010,14484
"2218","INYO","Mar",2010,614
"2219","KERN","Mar",2010,39171
"2220","KINGS","Mar",2010,6685
"2221","LAKE","Mar",2010,3366
"2222","LASSEN","Mar",2010,1210
"2223","LOS ANGELES","Mar",2010,345505
"2224","MADERA","Mar",2010,7228
"2225","MARIN","Mar",2010,6666
"2226","MARIPOSA","Mar",2010,861
"2227","MENDOCINO","Mar",2010,3448
"2228","MERCED","Mar",2010,15226
"2229","MODOC","Mar",2010,383
"2230","MONO","Mar",2010,410
"2231","MONTEREY","Mar",2010,22794
"2232","NAPA","Mar",2010,4993
"2233","NEVADA","Mar",2010,4049
"2234","ORANGE","Mar",2010,107808
"2235","PLACER","Mar",2010,14529
"2236","PLUMAS","Mar",2010,1314
"2237","RIVERSIDE","Mar",2010,96631
"2238","SACRAMENTO","Mar",2010,61942
"2239","SAN BENITO","Mar",2010,3263
"2240","SAN BERNARDINO","Mar",2010,87461
"2241","SAN DIEGO","Mar",2010,112972
"2242","SAN FRANCISCO","Mar",2010,31309
"2243","SAN JOAQUIN","Mar",2010,36734
"2244","SAN LUIS OBISPO","Mar",2010,8658
"2245","SAN MATEO","Mar",2010,21814
"2246","SANTA BARBARA","Mar",2010,12693
"2247","SANTA CLARA","Mar",2010,70370
"2248","SANTA CRUZ","Mar",2010,14363
"2249","SHASTA","Mar",2010,10590
"2250","SIERRA","Mar",2010,172
"2251","SISKIYOU","Mar",2010,2378
"2252","SOLANO","Mar",2010,18176
"2253","SONOMA","Mar",2010,19843
"2254","STANISLAUS","Mar",2010,30326
"2255","SUTTER","Mar",2010,5908
"2256","TEHAMA","Mar",2010,2959
"2257","TRINITY","Mar",2010,668
"2258","TULARE","Mar",2010,24216
"2259","TUOLUMNE","Mar",2010,2646
"2260","VENTURA","Mar",2010,30674
"2261","YOLO","Mar",2010,7834
"2262","YUBA","Mar",2010,3953
"2263","ALAMEDA","Apr",2010,58791
"2264","ALPINE","Apr",2010,31
"2265","AMADOR","Apr",2010,1564
"2266","BUTTE","Apr",2010,8798
"2267","CALAVERAS","Apr",2010,2134
"2268","COLUSA","Apr",2010,1514
"2269","CONTRA COSTA","Apr",2010,37823
"2270","DEL NORTE","Apr",2010,824
"2271","EL DORADO","Apr",2010,7173
"2272","FRESNO","Apr",2010,46880
"2273","GLENN","Apr",2010,1292
"2274","HUMBOLDT","Apr",2010,3982
"2275","IMPERIAL","Apr",2010,17078
"2276","INYO","Apr",2010,552
"2277","KERN","Apr",2010,35659
"2278","KINGS","Apr",2010,5944
"2279","LAKE","Apr",2010,3098
"2280","LASSEN","Apr",2010,1069
"2281","LOS ANGELES","Apr",2010,328752
"2282","MADERA","Apr",2010,6666
"2283","MARIN","Apr",2010,6209
"2284","MARIPOSA","Apr",2010,715
"2285","MENDOCINO","Apr",2010,3211
"2286","MERCED","Apr",2010,13601
"2287","MODOC","Apr",2010,324
"2288","MONO","Apr",2010,431
"2289","MONTEREY","Apr",2010,16320
"2290","NAPA","Apr",2010,4661
"2291","NEVADA","Apr",2010,3794
"2292","ORANGE","Apr",2010,101651
"2293","PLACER","Apr",2010,13588
"2294","PLUMAS","Apr",2010,1175
"2295","RIVERSIDE","Apr",2010,89513
"2296","SACRAMENTO","Apr",2010,57971
"2297","SAN BENITO","Apr",2010,2922
"2298","SAN BERNARDINO","Apr",2010,81945
"2299","SAN DIEGO","Apr",2010,106138
"2300","SAN FRANCISCO","Apr",2010,29060
"2301","SAN JOAQUIN","Apr",2010,35236
"2302","SAN LUIS OBISPO","Apr",2010,8054
"2303","SAN MATEO","Apr",2010,20690
"2304","SANTA BARBARA","Apr",2010,10729
"2305","SANTA CLARA","Apr",2010,66557
"2306","SANTA CRUZ","Apr",2010,12874
"2307","SHASTA","Apr",2010,9695
"2308","SIERRA","Apr",2010,156
"2309","SISKIYOU","Apr",2010,2061
"2310","SOLANO","Apr",2010,17155
"2311","SONOMA","Apr",2010,18518
"2312","STANISLAUS","Apr",2010,28683
"2313","SUTTER","Apr",2010,5492
"2314","TEHAMA","Apr",2010,2748
"2315","TRINITY","Apr",2010,591
"2316","TULARE","Apr",2010,21545
"2317","TUOLUMNE","Apr",2010,2440
"2318","VENTURA","Apr",2010,28817
"2319","YOLO","Apr",2010,7143
"2320","YUBA","Apr",2010,3572
"2321","ALAMEDA","May",2010,57882
"2322","ALPINE","May",2010,38
"2323","AMADOR","May",2010,1507
"2324","BUTTE","May",2010,8329
"2325","CALAVERAS","May",2010,2040
"2326","COLUSA","May",2010,1109
"2327","CONTRA COSTA","May",2010,37262
"2328","DEL NORTE","May",2010,802
